id,type,text1,text2,text3,text4,text5,notes
junk_pirates_cutlass,WEAPON,"The cases of two separate tactical lasers have seemingly been pulled apart and put back together again.
A capacitive circuit from a pulse laser and the controls from a Talon interceptor flight computer have turned these two previously innocuous light defense lasers in to a deadly spitting cobra. Relatively short range and energy hungry, but deadly in a brawl.",Assault,,,,
junk_pirates_scatterpd,WEAPON,"What appears at first sight to be a normal point defense laser, the laser delivery chamber has been heavily modified.
Several rotating refractive industrial emeralds have been mounted inside a gas-filled magnetic containment field.
Upon operation, a salvo of plasma and high energy laser pulses leave this chamber in approximately the direction of the chosen target.",Point Defense,,,,
junk_pirates_lexcimer,WEAPON,"A high frequency excimer laser, used by the Junk Pirates to etch travel directions, shopping lists and floral patterns on to layabout space debris.",Assault,,,,
junk_pirates_grapeshot,WEAPON,"Hot shrapnel is released from a guided canister at high speeds, designed to give a warm welcome to overzealous fighter fleets.
The cannon fires a pair of canisters at once before reloading.",Assault,,,,
junk_pirates_grapeshot_m,WEAPON,"Hot shrapnel is released from a guided canister at high speeds, designed to give a warm welcome to overzealous fighter fleets.
The launcher fires a single canister at once before reloading.",Assault,,,,
junk_pirates_grapeshot_s,WEAPON,"Hot shrapnel is released from a guided canister at high speeds, designed to give a warm welcome to overzealous fighter fleets.
This small mount carries a single guided canister – which is reloaded slowly over time.",Assault,,,,
junk_pirates_bangpod,WEAPON,"The only difference between this and a typical dumb-fire gas-release escape pod is the substitution of real people for several carefully sculpted highly volatile lifesize statues, made out of suitably explosive chemical pastes and compounds.
Competitions are regularly held at Karkov Academy, and those individuals who produce the most aesthetically pleasing figures are held in high regard indeed.",Strike,,,,50.67 cm
junk_pirates_haymaker,WEAPON,"The devastating right hook of the Junk Pirates' Tangerine.
This weapon fires a modified thermal pulse, causing high damage and scrambling systems.
This built in weapon is capable of significant initial burst damage making it a highly potent strike weapon on the swift and mobile frigate. The reactors on the Tangerine recharge the Haymaker relatively slowly, so the weapon loses utility in extended battles against superior sustained firepower.",Assault,,,,
junk_pirates_haymaker_blue,WEAPON,"The devastating right hook of the Junk Pirates' Tangerine, this version is that fitted to the Blue Tangerine, having a higher energy payload but reduced firing frequency.
This weapon fires a modified thermal pulse, causing high damage and scrambling systems.
This built in weapon is capable of significant initial burst damage making it a highly potent strike weapon on the swift and mobile frigate. The reactors on the Tangerine recharge the Haymaker relatively slowly, so the weapon loses utility in extended battles against superior sustained firepower.",Assault,,,,
junk_pirates_scorpion,WEAPON,"The sting in the tail of the Junk Pirates' Langoustine.
Based on the Haymaker of the Tangerine, this weapon has a reduced damage but a much increased rate of fire.",Assault,,,,
junk_pirates_welder,WEAPON,"The Stygian Drill is an immensely powerful industrial particle beam integrated directly into The Reaper. Continuous fire superheats the focused red-to-orange lance, scaling damage from 1,000 to 1,800 Fragmentation DPS over 3 seconds and tearing armor plating cleanly off target hulls.",Close Support,,,,
junk_pirates_pica,WEAPON,"The PICA – Particle Inverter / Charge Amplifier – claims to use a hitherto unknown (and subsequently unproven) process to weaponise the generous flux chambers of the Magpie.
By sinusoidally varying the charge ratings of particles held in the pre-firing chamber from plus 2 to negative 2 times base values, this generates a soup of plasma and antimatter which react to angrily discharge from the metalo-ceramic barrel via the reflective and resonant 'bassoon'. Huge positive and negative recoil cancel each other out in totality, and so the frame of the weapon can shift focus and maintain accuracy frighteningly well.
(at least, that's what it says in the user manual).
Whatever the truth of the physical processes – the weapon delivers an impressive volley of quickly moving and powerful energy charges in a straight line towards would-be aggressors, but the esoteric technology and large ordnance footprint make it fundamentally impractical for incorporation as a standalone weapon outside the frame of the Magpie.",Assault,,,,
junk_pirates_electrobeam,WEAPON,"A long-ranged energy support weapon, firing an unstable stream of ionized particles with the notable side effect of converting whatever it strikes into a 'lightning rod' for nearby electrostatically charged debris. Relatively undemanding in terms of engineering and support profile, though its efficacy leaves something to be desired.
A junk-built knockoff of the sector-standard Bhilai Exospace Ion Beam, the Electrostatic Shock Beam is claimed by Junk Pirate oral history to be reverse-engineered from a prototype stolen - usually, by incredible coincidence, by whoever happens to be telling the story - from the Chernobog Proving Grounds. The veracity of this information is somewhat in doubt, not least due to the claimed date of this event being significantly before the Collapse.",Close Support,,,,
junk_pirates_scrapcannon,WEAPON,"A robust and inexpensive autocannon with generous engineering specifications, easily mounted even to light vessels or those lacking in flux infrastructure. Nonstandard 'scrap' rounds produce unpredictable, though generally disappointing, effect on target.
The GA-X Industries Mk. I 'Scrapper' Autocannon, long out of production even before the Collapse, was once widely boasted to be capable of firing anything that would fit into the breech. Of course, when the blueprint was rediscovered in a remote Domain derelict outpost by Junk Pirate scavengers along with a filing cabinet full of incredibly preserved period advertising material, they took this as a challenge. Now back in steady use after uncounted centuries, the Junk Pirate 'standard' loadings for the Scrapper consist of grapeshot, heavy packing grease, non-Newtonian fluids, stale pizza crusts, stolen silverware, and everything in between.",Assault,,,,
junk_pirates_scrapnailer,WEAPON,"A piece of standard industrial equipment turned starship armament, the affectionately christened 'Scrap Nailer' has been retooled to fire meter-long jagged spikes cut from scrap steel, damaged armour plating, or really just about any conductive metal that happens to be laying about.",Close Support,,,,
junk_pirates_junkjet_rack,WEAPON,"More of a broad identification category than a discrete 'class' of weapons, the only traits universally shared by 'Scrapjet' missiles are their powerful engines, mid-weight payloads, and frankly deficient targeting systems. This particular weapon mount consists of four Scrapjets crudely affixed to a jury-rigged missile rack by a series of suspiciously oversized explosive bolts.",Close Support,,,,
junk_pirates_junkjet_pod,WEAPON,"More of a broad identification category than a discrete 'class' of weapons, the only traits universally shared by 'Scrapjet' missiles are their powerful engines, mid-weight payloads, and frankly deficient targeting systems. This particular weapon mount consists of a standard double-arm missile rack fed by internal magazines which are routinely loaded far beyond their stated maximum capacity.",Close Support,,,,
junk_pirates_mlrs,WEAPON,"The Micro Scrapjet MLRS system fires a smaller version of her big sister the Scrapjet in the Micro Scrapjet. Similar behaviour is to be expected; with the various warhead types and including no particular guarantees that adjacent barn doors will be hit.
This MLRS fires micro scrapjets in extended ‘lucky dip’ salvoes of 8 and can be found on the right arm of the Orca pleasure craft.",Close Support,,,,
junk_pirates_electrochafflauncher_copy,WEAPON,"A specialized dispenser that expels clouds of electrostatically charged chaff particles. When primed in proximity to hostile targets or incoming missiles, the particles release localized EMP arcs to disrupt guidance arrays and scrambled weapon sensors.",Point Defense,,,,
pack_ripsaw,WEAPON,"A heavy-duty light autocannon built directly into the frame of the Pitbull destroyer with enhanced cooling jackets, an accelerated feeder mechanism, and an aggressive cyclic rate.",Close Support,,,,
pack_mini_ripsaw,WEAPON,"A compact, lightened variant of the P.A.C.K. Ripsaw autocannon fitted onto the sponsons of Alyosha-class gunships. Delivers rapid bursts of kinetic flechettes designed to strip enemy shields during gunship attack runs.",Close Support,,,,
pack_torp,WEAPON,Electromagnetically ejected from turreted rails on the paired sponsons of the Mitya-class heavy bomber. Its concentrated plasma-fusion warhead can breach the heaviest capital armor upon direct impact.,Strike,,,,
